Channel 1,Name of channel,Country,Category,Language,Channel ID,full url 1 with Video ID,full url 2 with Video ID
62,CNA (Channel NewsAsia),Singapore,National News,English,UC83jt4dlz1Gjl58fzQrrKZg,https://www.youtube.com/watch?v=XWq5kBlakcQ,
63,NHK WORLD-JAPAN,Japan,National News,English,UCSPEjw8F2nQDtmUKPFNF7_A,https://www.youtube.com/watch?v=f0lYkdA-Gtw,
64,TRT World,Turkey,National News,English,UC7fWeaHhqgM4Ry-RMpM2YYw,https://www.youtube.com/watch?v=0T3jv70ypu4,
65,ABC News,United States,National News,English,UCBi2mrWuNuyYy4gbM6fU18Q,https://www.youtube.com/watch?v=3MT3lPGqUsA,
66,NBC News,United States,National News,English,UCeY0bbntWzzVIaj2z3QigXg,https://www.youtube.com/watch?v=yDDev_X0tQk,
67,CBS News,United States,National News,English,UCIZKodCUL1srk0gP8elt5bA,https://www.youtube.com/watch?v=pBToEXlbdm4,
68,Fox News,United States,National News,English,UCXIJgqnII2ZOINSWNOGFThA,https://www.youtube.com/watch?v=FrfkabccVFo,
69,LiveNOW from FOX,United States,National News,English,UCJg9wBPyKMNA5sRDnvzmkdg,https://www.youtube.com/watch?v=pJ-_cnEu0gY,https://www.youtube.com/watch?v=C96oohpWBGw
70,Euronews,France,National News,,UCSrZ3UV4jOidv8ppoVuvW9Q,https://www.youtube.com/watch?v=4mu5Ccj74W8,
71,Arirang TV,South Korea,National News,,UC-PHIZjV-oX8H7zD1cCN2NQ,https://www.youtube.com/watch?v=trrPwbBZaLg,
72,CGTN,China,National News,English,UCgrNz-aDmcr2uuto8_DL2jg,https://www.youtube.com/watch?v=R79Yrpkn1Bk,https://www.youtube.com/watch?v=iUt4CkuPz3g
73,United Nations,International,National News,,UC5O114-PQNYkurlTg6hekZw,https://www.youtube.com/embed/live_stream?channel=UC5O114-PQNYkurlTg6hekZw,
74,CNN Indonesia,Indonesia,National News,,UCKII0Ml9S5wneKbHswmUrIQ,https://www.youtube.com/embed/live_stream?channel=UCKII0Ml9S5wneKbHswmUrIQ,
75,tvOneNews,Indonesia,National News,,UCER4rvDnRBPr_ncYW4UCZjg,https://www.youtube.com/embed/live_stream?channel=UCER4rvDnRBPr_ncYW4UCZjg,
76,Good Life Radio (Chill),International,Music,English,,https://www.youtube.com/watch?v=jNgP6d9HraI,
77,Radio Hits (Pop),International,Music,English,,https://www.youtube.com/watch?v=b-bK2Vn3D38,
78,Radio Mix (70s/80s),International,Music,English,,https://www.youtube.com/watch?v=WnCfvAMM9eY,
79,Rock FM (Classic Rock),International,Music,English,,https://www.youtube.com/watch?v=Nt27aBceerI,
80,Deep House Hits,International,Music,English,,https://www.youtube.com/watch?v=cnVPm1dGQJc&list=RDcnVPm1dGQJc&start_radio=1,
81,Radio Mix (Pop 2025),International,Music,English,,https://www.youtube.com/watch?v=Uqk9YlmH3b4,
82,Monstercat Silk,Canada,Music,English,,https://www.youtube.com/watch?v=WsDyRAPFBC8,
83,Cafe Music BGM (Jazz),Japan,Music,English,,https://www.youtube.com/watch?v=_dnYojGecWc,
84,Cafe Music (Smooth Jazz),Japan,Music,English,,https://www.youtube.com/watch?v=rUVpkJ0v8Eo,
85,Aditya Music (Telugu),India,Music,Telungu,,https://www.youtube.com/watch?v=B8ilYn_EO6g,
86,24 Hours Songs (Mal/Tamil),India,Music,Malayalam,,https://www.youtube.com/watch?v=R_JBMQ9nM8k,
87,123Musix Jukebox (Mal),India,Music,Malayalam,,https://www.youtube.com/watch?v=dFN5l5k3fME,
88,Malayali Mix (Chillstep),India,Music,Malayalam,,https://www.youtube.com/watch?v=gK8GVzqPnzQ,
89,ONE8 NICK (Mal Lofi),India,Music,Malayalam,,https://www.youtube.com/watch?v=R_Y9jn99lwQ,
90,123Musix Relax (Mal),India,Music,Malayalam,,https://www.youtube.com/watch?v=bA7HvJsCAiI&list=RDbA7HvJsCAiI&start_radio=1,
91,Saregama Malayalam,India,Music,Malayalam,,https://www.youtube.com/watch?v=u9tYgAK-V_c&list=RDu9tYgAK-V_c&start_radio=1&t=40s,
92,Star Music India (Tamil),India,Music,Tamil,,https://www.youtube.com/watch?v=Yb8kSxx9z9M,
93,Tamil Music Lofi,India,Music,Tamil,,https://www.youtube.com/watch?v=hKc6_rT2ROQ&list=PL-Jf-X7fLIMwnld92BUkXLbk3SslxASV1,
94,Thamizh Lofi Nights,India,Music,Tamil,,https://www.youtube.com/watch?v=PHdBLGDNa1s,
95,REPORTER LIVE,India,State News,Malayalam,UCFx1nseXKTc1Culiu3neeSQ,https://www.youtube.com/embed/live_stream?channel=UCFx1nseXKTc1Culiu3neeSQ,
96,News18 Kerala,India,State News,Malayalam,UC-mMi78WJST4N5o8_i1FoXw,https://www.youtube.com/embed/live_stream?channel=UC-mMi78WJST4N5o8_i1FoXw,
97,Jaihind News,India,State News,Malayalam,UCDM528eqIJElfflkvfT-MuQ,https://www.youtube.com/embed/live_stream?channel=UCDM528eqIJElfflkvfT-MuQ,
98,Kaumudy TV,India,State News,Malayalam,UCSVALYUGVruJ4I2RjhiudSQ,https://www.youtube.com/embed/live_stream?channel=UCSVALYUGVruJ4I2RjhiudSQ,
99,POWERVISION TV,India,Religious,Malayalam,UCzxfpzSF7mz8j7bNIXyZWmA,https://www.youtube.com/embed/live_stream?channel=UCzxfpzSF7mz8j7bNIXyZWmA,
100,Shalom TV Live,India,Religious,Malayalam,UCw0zgXgBT81prKkU9YwwD8g,https://www.youtube.com/embed/live_stream?channel=UCw0zgXgBT81prKkU9YwwD8g,
101,Goodness Online,India,Religious,Malayalam,UC1qaqWyxs3QK-4ljZMuSxSA,https://www.youtube.com/embed/live_stream?channel=UC1qaqWyxs3QK-4ljZMuSxSA,
102,Shalom World Prayer,India,Religious,,UCIFjeNtkyUCoxoPOxXkarTA,https://www.youtube.com/embed/live_stream?channel=UCIFjeNtkyUCoxoPOxXkarTA,
103,NEWS (NTV News),Mongolia,National News,,UCuTAXTexrhetbOe3zgskJBQ,https://www.youtube.com/watch?v=U_mRxHRuNvo,
104,Star Music X Lyrically (Tamil),India,Music,,UCH-KAVLGvwDg7Ul7XdX2bOA,https://www.youtube.com/embed/live_stream?channel=UCH-KAVLGvwDg7Ul7XdX2bOA,
105,TBS NEWS DIG,Japan,News,,UC6AG81pAkf6Lbi_1VC5NmPA,https://www.youtube.com/embed/live_stream?channel=UC6AG81pAkf6Lbi_1VC5NmPA,
106,YTN,South Korea,News,,UChlgI3UHCOnwUGzWzbJ3H5w,https://www.youtube.com/embed/live_stream?channel=UChlgI3UHCOnwUGzWzbJ3H5w,
107,Thairath News,Thailand,News,,UCrFDdD-EE05N7gjwZho2wqw,https://www.youtube.com/embed/live_stream?channel=UCrFDdD-EE05N7gjwZho2wqw,
108,TVBS NEWS,Taiwan,News,,UC5nwNW4KdC0SzrhF9BXEYOQ,https://www.youtube.com/embed/live_stream?channel=UC5nwNW4KdC0SzrhF9BXEYOQ,
109,VTV24,Vietnam,News,,UCabsTV34JwALXKGMqHpvUiA,https://www.youtube.com/embed/live_stream?channel=UCabsTV34JwALXKGMqHpvUiA,
110,Eagle News,Philippines,News,,UCPoVy9RE7OvlX8AkksLHsyA,https://www.youtube.com/embed/live_stream?channel=UCPoVy9RE7OvlX8AkksLHsyA,
111,CNA,Singapore,News,,UC83jt4dlz1Gjl58fzQrrKZg,https://www.youtube.com/embed/live_stream?channel=UC83jt4dlz1Gjl58fzQrrKZg,
112,Astro AWANI,Malaysia,News,,UC5dYmq91e5_g54krpO06NJw,https://www.youtube.com/embed/live_stream?channel=UC5dYmq91e5_g54krpO06NJw,
113,AlArabiya,Global,News,,UCahpxixMCwoANAftn6IxkTg,https://www.youtube.com/embed/live_stream?channel=UCahpxixMCwoANAftn6IxkTg,
114,SKAI.gr,Greece,News,,UCmHgxU394HiIAsN1fMegqzw,https://www.youtube.com/embed/live_stream?channel=UCmHgxU394HiIAsN1fMegqzw,
115,Sky TG24,Italy,News,,UCz6E3lF72mb6uoJ-mOlNo2A,https://www.youtube.com/embed/live_stream?channel=UCz6E3lF72mb6uoJ-mOlNo2A,
116,SRF,Switzerland,News,,UCVuR4hBxX3zWY_xUCZeIc3A,https://www.youtube.com/embed/live_stream?channel=UCVuR4hBxX3zWY_xUCZeIc3A,
117,Zee 24 Ghanta,India,State News,,UCdF5Q5QVbYstYrTfpgUl0ZA,https://www.youtube.com/embed/live_stream?channel=UCdF5Q5QVbYstYrTfpgUl0ZA,
118,ABP Ananda,India,State News,,UCv3rFzn-GHGtqzXiaq3sWNg,https://www.youtube.com/embed/live_stream?channel=UCv3rFzn-GHGtqzXiaq3sWNg,
119,News Live,India,State News,,UCrQHRYuJG8jmpUVALIC9Gkw,https://www.youtube.com/embed/live_stream?channel=UCrQHRYuJG8jmpUVALIC9Gkw,
